Year-Of-Publication,Book-Rating,Age,Page-Count,Genre,Review-Count,Year-Label,Rating-Label,Age-Label,Page-Count-Label,Genre-Label,Review-Count-Label,age,annotation_id,annotator,created_at,genre,id,lead_time,page_count,rating,review_count,updated_at,year
2001,8,12,921,Romance,34,After 2000,High,Child,Long,Emotional,Moderate Reviews,,,,,,,,,,,,
1964,5,29,735,Drama,86,Before 2000,Medium,Adult,Long,Emotional,Many Reviews,,,,,,,,,,,,
2021,3,68,841,Non-Fiction,80,After 2000,Low,Senior,Long,Other,Many Reviews,,,,,,,,,,,,
2010,8,45,675,Non-Fiction,89,After 2000,High,Adult,Long,Other,Many Reviews,,,,,,,,,,,,
1970,6,28,337,Science Fiction,7,Before 2000,Medium,Adult,Long,Speculative Fiction,Few Reviews,,,,,,,,,,,,
1973,3,76,992,Thriller,92,Before 2000,Low,Senior,Long,Suspense,Many Reviews,,,,,,,,,,,,
1952,1,28,903,Romance,25,Before 2000,Low,Adult,Long,Emotional,Moderate Reviews,,,,,,,,,,,,
1971,3,29,712,Science Fiction,73,Before 2000,Low,Adult,Long,Speculative Fiction,Many Reviews,,,,,,,,,,,,
2002,5,61,688,Fantasy,89,After 2000,Medium,Adult,Long,Speculative Fiction,Many Reviews,,,,,,,,,,,,
1951,3,42,204,Fantasy,33,Before 2000,Low,Adult,Medium,Speculative Fiction,Moderate Reviews,,,,,,,,,,,,
1979,1,49,539,Science Fiction,6,Before 2000,Low,Adult,Long,Speculative Fiction,Few Reviews,,,,,,,,,,,,
1987,5,48,435,Non-Fiction,67,Before 2000,Medium,Adult,Long,Other,Many Reviews,,,,,,,,,,,,
1951,10,10,834,Fantasy,57,Before 2000,High,Child,Long,Speculative Fiction,Many Reviews,,,,,,,,,,,,
2013,7,20,153,Drama,74,After 2000,High,Adult,Medium,Emotional,Many Reviews,,,,,,,,,,,,
2009,7,66,978,Drama,28,After 2000,High,Senior,Long,Emotional,Moderate Reviews,,,,,,,,,,,,
1970,9,59,442,Science Fiction,35,Before 2000,High,Adult,Long,Speculative Fiction,Moderate Reviews,,,,,,,,,,,,
1982,10,32,860,Romance,88,Before 2000,High,Adult,Long,Emotional,Many Reviews,,,,,,,,,,,,
2007,10,40,295,Romance,20,After 2000,High,Adult,Medium,Emotional,Moderate Reviews,,,,,,,,,,,,
1971,3,51,225,Science Fiction,35,Before 2000,Low,Adult,Medium,Speculative Fiction,Moderate Reviews,,,,,,,,,,,,
1998,7,16,88,Romance,9,Before 2000,High,Child,Short,Emotional,Few Reviews,,,,,,,,,,,,
2008,1,25,526,Non-Fiction,72,After 2000,Low,Adult,Long,Other,Many Reviews,,,,,,,,,,,,
1991,4,69,731,Non-Fiction,23,Before 2000,Medium,Senior,Long,Other,Moderate Reviews,,,,,,,,,,,,
2009,4,11,808,Romance,63,After 2000,Medium,Child,Long,Emotional,Many Reviews,,,,,,,,,,,,
1964,5,10,587,Drama,98,Before 2000,Medium,Child,Long,Emotional,Many Reviews,,,,,,,,,,,,
2011,7,57,916,Romance,48,After 2000,High,Adult,Long,Emotional,Moderate Reviews,,,,,,,,,,,,
2011,7,21,867,Non-Fiction,98,After 2000,High,Adult,Long,Other,Many Reviews,,,,,,,,,,,,
1996,4,78,970,Mystery,35,Before 2000,Medium,Senior,Long,Suspense,Moderate Reviews,,,,,,,,,,,,
2011,7,46,457,Thriller,81,After 2000,High,Adult,Long,Suspense,Many Reviews,,,,,,,,,,,,
2000,3,41,574,Fantasy,95,After 2000,Low,Adult,Long,Speculative Fiction,Many Reviews,,,,,,,,,,,,
2004,6,18,877,Mystery,23,After 2000,Medium,Adult,Long,Suspense,Moderate Reviews,,,,,,,,,,,,
2013,2,28,555,Romance,22,After 2000,Low,Adult,Long,Emotional,Moderate Reviews,,,,,,,,,,,,
1952,10,57,952,Drama,61,Before 2000,High,Adult,Long,Emotional,Many Reviews,,,,,,,,,,,,
2000,9,12,874,Science Fiction,95,After 2000,High,Child,Long,Speculative Fiction,Many Reviews,,,,,,,,,,,,
1956,5,29,85,Romance,36,Before 2000,Medium,Adult,Short,Emotional,Moderate Reviews,,,,,,,,,,,,
1970,6,33,734,Drama,11,Before 2000,Medium,Adult,Long,Emotional,Moderate Reviews,,,,,,,,,,,,
2022,4,63,69,Thriller,54,After 2000,Medium,Adult,Short,Suspense,Many Reviews,,,,,,,,,,,,
1988,10,42,370,Romance,12,Before 2000,High,Adult,Long,Emotional,Moderate Reviews,,,,,,,,,,,,
1967,7,33,825,Non-Fiction,22,Before 2000,High,Adult,Long,Other,Moderate Reviews,,,,,,,,,,,,
1953,9,45,561,Science Fiction,88,Before 2000,High,Adult,Long,Speculative Fiction,Many Reviews,,,,,,,,,,,,
2009,7,47,449,Drama,98,After 2000,High,Adult,Long,Emotional,Many Reviews,,,,,,,,,,,,
